Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Ethiopia	2434.393	2.229e-05	5306.626	4.858e-05	14.606	1.3e-07	31.84	2.9e-07
Swaziland	25.323	2.229e-05	55.201	4.858e-05	0.152	1.3e-07	0.331	2.9e-07
Cameroon	1873.395	7.429e-05	5440.258	0.00021574	11.24	4.5e-07	32.642	1.29e-06
Burkina Faso	733.702	3.715e-05	1693.322	8.573e-05	4.402	2.2e-07	10.16	5.1e-07
Guinea	276.69	2.229e-05	603.144	4.858e-05	1.66	1.3e-07	3.619	2.9e-07
Liberia	53.703	1.114e-05	126.723	2.63e-05	0.322	7e-08	0.76	1.6e-07
Kenya	1145.445	2.229e-05	2496.906	4.858e-05	6.873	1.3e-07	14.981	2.9e-07
Mauritania	98.141	2.229e-05	213.933	4.858e-05	0.589	1.3e-07	1.284	2.9e-07
Rwanda	274.185	2.229e-05	597.684	4.858e-05	1.645	1.3e-07	3.586	2.9e-07
Seychelles	2.157	2.229e-05	4.701	4.858e-05	0.013	1.3e-07	0.028	2.9e-07
Malawi	9.697	5.3e-07	14.546	8e-07	0.058	0.0	0.087	0.0
Benin	127.989	1.114e-05	302.018	2.63e-05	0.768	7e-08	1.812	1.6e-07
Libya	24.809	3.71e-06	51.58	7.72e-06	0.149	2e-08	0.309	5e-08
Republic of the Congo	116.886	2.229e-05	254.795	4.858e-05	0.701	1.3e-07	1.529	2.9e-07
Togo	586.106	7.429e-05	1702.027	0.00021574	3.517	4.5e-07	10.212	1.29e-06
Ghana	663.448	2.229e-05	1446.221	4.858e-05	3.981	1.3e-07	8.677	2.9e-07
Central African Republic	104.004	2.229e-05	226.714	4.858e-05	0.624	1.3e-07	1.36	2.9e-07
Mauritius	14.101	1.114e-05	33.273	2.63e-05	0.085	7e-08	0.2	1.6e-07
Mali	40.787	2.14e-06	76.475	4.01e-06	0.245	1e-08	0.459	2e-08
Angola	228.896	7.43e-06	466.848	1.515e-05	1.373	4e-08	2.801	9e-08
South Africa	4292.633	7.429e-05	12465.621	0.00021574	25.756	4.5e-07	74.794	1.29e-06
Senegal	1472.339	9.287e-05	4892.826	0.00030861	8.834	5.6e-07	29.357	1.85e-06
Mozambique	109.567	3.71e-06	227.806	7.72e-06	0.657	2e-08	1.367	5e-08
Uganda	317.404	7.43e-06	647.367	1.515e-05	1.904	4e-08	3.884	9e-08
Niger	166.736	7.43e-06	340.069	1.515e-05	1.0	4e-08	2.04	9e-08
Cape Verde	4.04	7.43e-06	8.239	1.515e-05	0.024	4e-08	0.049	9e-08
Ivory Coast	33096.15	0.00132019	155095.517	0.00618669	198.577	7.92e-06	930.573	3.712e-05
Nigeria	21828.242	0.00011144	82277.292	0.00042005	130.969	6.7e-07	493.664	2.52e-06
Algeria	5490.249	0.00013001	23228.324	0.00055006	32.941	7.8e-07	139.37	3.3e-06
