Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-17	0.08	2.08	3.578	3.578
2020-04-18	0.073	2.153	3.624	7.202
2020-04-19	0.066	2.219	3.637	10.839
2020-04-20	0.06	2.279	3.63	14.469
2020-04-21	0.054	2.333	3.596	18.065
2020-04-22	0.048	2.381	3.55	21.615
2020-04-23	0.043	2.424	3.496	25.111
2020-04-24	0.038	2.462	3.429	28.54
2020-04-25	0.034	2.496	3.348	31.888
2020-04-26	0.029	2.525	3.261	35.149
2020-04-27	0.025	2.55	3.173	38.322
2020-04-28	0.021	2.571	3.087	41.409
2020-04-29	0.016	2.587	3.007	44.416
2020-04-30	0.011	2.598	2.934	47.35
2020-05-01	0.007	2.605	2.86	50.21
2020-05-02	0.005	2.61	2.779	52.989
2020-05-03	0.003	2.613	2.691	55.68
2020-05-04	0.002	2.615	2.596	58.276
2020-05-05	0.001	2.616	2.494	60.77
2020-05-06	0.001	2.617	2.393	63.163
2020-05-07	0.001	2.618	2.291	65.454
2020-05-08	0.001	2.619	2.191	67.645
2020-05-09	0.001	2.62	2.093	69.738
2020-05-10	0.0	2.62	1.997	71.735
2020-05-11	0.0	2.62	1.903	73.638
2020-05-12	0.0	2.62	1.811	75.449
2020-05-13	0.0	2.62	1.722	77.171
2020-05-14	0.0	2.62	1.635	78.806
2020-05-15	0.0	2.62	1.552	80.358
2020-05-16	0.0	2.62	1.472	81.83
2020-05-17	0.0	2.62	1.395	83.225
2020-05-18	0.0	2.62	1.323	84.548
2020-05-19	0.0	2.62	1.253	85.801
2020-05-20	0.0	2.62	1.185	86.986
2020-05-21	0.0	2.62	1.12	88.106
2020-05-22	0.0	2.62	1.056	89.162
2020-05-23	0.0	2.62	0.992	90.154
2020-05-24	0.0	2.62	0.928	91.082
2020-05-25	0.0	2.62	0.865	91.947
2020-05-26	0.0	2.62	0.802	92.749
2020-05-27	0.0	2.62	0.744	93.493
2020-05-28	0.0	2.62	0.693	94.186
2020-05-29	0.0	2.62	0.648	94.834
2020-05-30	0.0	2.62	0.61	95.444
2020-05-31	0.0	2.62	0.577	96.021
2020-06-01	0.0	2.62	0.546	96.567
