Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Canada	103245.788	0.002786	28537706.546	0.77006442	619.475	1.672e-05	171226.239	0.00462039
United States of America	850721.051	0.00260026	252790722.192	0.77266468	5104.326	1.56e-05	1516744.333	0.00463599
Saint Kitts and Nevis	451.937	0.00861801	34912.951	0.66575677	2.712	5.171e-05	209.478	0.00399454
Guatemala	126217.386	0.00731788	12028718.441	0.69740567	757.304	4.391e-05	72172.311	0.00418443
Jamaica	20386.719	0.00694641	2067171.244	0.70435209	122.32	4.168e-05	12403.027	0.00422611
Saint Vincent and the Grenadines	806.504	0.00731788	76861.079	0.69740567	4.839	4.391e-05	461.166	0.00418443
Saint Lucia	1331.042	0.00731788	126850.42	0.69740567	7.986	4.391e-05	761.103	0.00418443
Dominican Republic	61977.799	0.00583202	7683042.132	0.72296253	371.867	3.499e-05	46098.253	0.00433778
The Bahamas	2965.319	0.00768935	266125.456	0.69008779	17.792	4.614e-05	1596.753	0.00414053
Panama	29014.29	0.00694641	2941989.214	0.70435209	174.086	4.168e-05	17651.935	0.00422611
Costa Rica	31013.943	0.00620348	3585251.71	0.71713052	186.084	3.722e-05	21511.51	0.00430278
El Salvador	51994.921	0.00809796	4381505.728	0.68239845	311.97	4.859e-05	26289.034	0.00409439
Haiti	90075.021	0.00809796	7590438.018	0.68239845	540.45	4.859e-05	45542.628	0.00409439
Mexico	689071.136	0.00546055	91920282.932	0.72842308	4134.427	3.276e-05	551521.698	0.00437054
Antigua and Barbuda	704.609	0.00731788	67150.403	0.69740567	4.228	4.391e-05	402.902	0.00418443
Dominica	611.944	0.00854372	48296.772	0.67430049	3.672	5.126e-05	289.781	0.0040458
Trinidad and Tobago	10170.814	0.00731788	969294.853	0.69740567	61.025	4.391e-05	5815.769	0.00418443
Honduras	66598.899	0.00694641	6752991.128	0.70435209	399.593	4.168e-05	40517.947	0.00422611
Nicaragua	52357.458	0.00809796	4412056.024	0.68239845	314.145	4.859e-05	26472.336	0.00409439
Cuba	78759.403	0.00694641	7986041.161	0.70435209	472.556	4.168e-05	47916.247	0.00422611
Paraguay	45735.807	0.00657495	4945258.931	0.71092704	274.415	3.945e-05	29671.554	0.00426556
Canada	103245.788	0.002786	28537706.546	0.77006442	619.475	1.672e-05	171226.23927665	0.00462039
United States of America	850721.051	0.00260026	252790722.192	0.77266468	5104.326	1.56e-05	1516744.33315286	0.00463599
Saint Kitts and Nevis	451.937	0.00861801	34912.951	0.66575677	2.712	5.171e-05	209.47770439	0.00399454
Guatemala	126217.386	0.00731788	12028718.441	0.69740567	757.304	4.391e-05	72172.31064465	0.00418443
Jamaica	20386.719	0.00694641	2067171.244	0.70435209	122.32	4.168e-05	12403.02746197	0.00422611
Saint Vincent and the Grenadines	806.504	0.00731788	76861.079	0.69740567	4.839	4.391e-05	461.16647503	0.00418443
Saint Lucia	1331.042	0.00731788	126850.42	0.69740567	7.986	4.391e-05	761.10252224	0.00418443
Dominican Republic	61977.799	0.00583202	7683042.132	0.72296253	371.867	3.499e-05	46098.25279322	0.00433778
The Bahamas	2965.319	0.00768935	266125.456	0.69008779	17.792	4.614e-05	1596.75273735	0.00414053
Panama	29014.29	0.00694641	2941989.214	0.70435209	174.086	4.168e-05	17651.93528271	0.00422611
Costa Rica	31013.943	0.00620348	3585251.71	0.71713052	186.084	3.722e-05	21511.51026195	0.00430278
El Salvador	51994.921	0.00809796	4381505.728	0.68239845	311.97	4.859e-05	26289.03436896	0.00409439
Haiti	90075.021	0.00809796	7590438.018	0.68239845	540.45	4.859e-05	45542.62810603	0.00409439
Mexico	689071.136	0.00546055	91920282.932	0.72842308	4134.427	3.276e-05	551521.6975912	0.00437054
Antigua and Barbuda	704.609	0.00731788	67150.403	0.69740567	4.228	4.391e-05	402.90241552	0.00418443
Dominica	611.944	0.00854372	48296.772	0.67430049	3.672	5.126e-05	289.78063438	0.0040458
Trinidad and Tobago	10170.814	0.00731788	969294.853	0.69740567	61.025	4.391e-05	5815.7691194	0.00418443
Honduras	66598.899	0.00694641	6752991.128	0.70435209	399.593	4.168e-05	40517.94676677	0.00422611
Nicaragua	52357.458	0.00809796	4412056.024	0.68239845	314.145	4.859e-05	26472.33614515	0.00409439
Cuba	78759.403	0.00694641	7986041.161	0.70435209	472.556	4.168e-05	47916.24696333	0.00422611
Paraguay	45735.807	0.00657495	4945258.931	0.71092704	274.415	3.945e-05	29671.55358859	0.00426556
Canada	3826170794347.759	103245.78811466	1057574757462468.6	28537706.54610786	619.475	1.672e-05	171194.787	0.00461954
United States of America	278328223255740.72	850721.05084805	8.270489191861048e+16	252790722.19214362	5104.326	1.56e-05	1516466.664	0.00463514
Saint Kitts and Nevis	23700034.922	451.93712786	1830870049.336	34912.95073198	2.712	5.171e-05	209.433	0.00399369
Guatemala	2176973114563.857	126217.38604588	207469014123834.72	12028718.44077538	757.304	4.391e-05	72157.672	0.00418359
Jamaica	59832062903.519	20386.7185614	6066847860314.244	2067171.24366084	122.32	4.168e-05	12400.537	0.00422526
Saint Vincent and the Grenadines	88884759.702	806.50358136	8470859535.466	76861.07917127	4.839	4.391e-05	461.073	0.00418359
Saint Lucia	242101883.633	1331.04191916	23072696111.349	126850.42037369	7.986	4.391e-05	760.948	0.00418359
Dominican Republic	658648293973.371	61977.79878014	81648956440879.94	7683042.13220364	371.867	3.499e-05	46089.233	0.00433693
The Bahamas	1143545806.253	2965.31948515	102628620938.388	266125.45622443	17.792	4.614e-05	1596.425	0.00413968
Panama	121189004856.398	29014.29008169	12288315313350.395	2941989.21378514	174.086	4.168e-05	17648.39	0.00422526
Costa Rica	155052380347.777	31013.94342843	17924254395918.53	3585251.71032492	186.084	3.722e-05	21507.267	0.00430193
El Salvador	333846074898.498	51994.92066628	28132526615053.52	4381505.72816071	311.97	4.859e-05	26283.585	0.00409354
Haiti	1001920317055.652	90075.02147369	84429777987657.38	7590438.01767205	540.45	4.859e-05	45533.188	0.00409354
