Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Canada	408853.321	0.01103254	22901863.126	0.61798624	2453.12	6.62e-05	137411.179	0.00370792
United States of America	3451496.836	0.01054963	205636469.649	0.62853588	20708.981	6.33e-05	1233818.818	0.00377122
Saint Kitts and Nevis	1071.403	0.02043063	15748.479	0.30030852	6.428	0.00012258	94.491	0.00180185
Guatemala	329959.156	0.0191305	6537941.799	0.37905931	1979.755	0.00011478	39227.651	0.00227436
Jamaica	54509.943	0.0185733	1166994.05	0.39763261	327.06	0.00011144	7001.964	0.0023858
Saint Vincent and the Grenadines	2108.372	0.0191305	41776.126	0.37905931	12.65	0.00011478	250.657	0.00227436
Saint Lucia	3479.627	0.0191305	68946.719	0.37905931	20.878	0.00011478	413.68	0.00227436
Dominican Republic	181591.003	0.01708744	4784297.059	0.45019505	1089.546	0.00010252	28705.782	0.00270117
The Bahamas	7520.738	0.01950197	138802.946	0.35992881	45.124	0.00011701	832.818	0.00215957
Panama	77578.316	0.0185733	1660860.908	0.39763261	465.47	0.00011144	9965.165	0.0023858
Costa Rica	87284.751	0.0174589	2165295.953	0.43310761	523.709	0.00010475	12991.776	0.00259865
El Salvador	127602.214	0.01987343	2185793.62	0.34042684	765.613	0.00011924	13114.762	0.00204256
Haiti	221055.672	0.01987343	3786627.707	0.34042684	1326.334	0.00011924	22719.766	0.00204256
Mexico	2109401.438	0.01671597	58919869.32	0.46691102	12656.409	0.0001003	353519.216	0.00280147
Antigua and Barbuda	1841.999	0.0191305	36498.105	0.37905931	11.052	0.00011478	218.989	0.00227436
Dominica	1450.041	0.0202449	22959.638	0.32055341	8.7	0.00012147	137.758	0.00192332
Trinidad and Tobago	26588.677	0.0191305	526838.613	0.37905931	159.532	0.00011478	3161.032	0.00227436
Honduras	178071.923	0.0185733	3812311.385	0.39763261	1068.432	0.00011144	22873.868	0.0023858
Nicaragua	128491.927	0.01987343	2201034.189	0.34042684	770.952	0.00011924	13206.205	0.00204256
Cuba	210586.64	0.0185733	4508413.393	0.39763261	1263.52	0.00011144	27050.48	0.0023858
Paraguay	125321.278	0.0180161	2891281.938	0.41564871	751.928	0.0001081	17347.692	0.00249389
Canada	408853.321	0.01103254	22901863.126	0.61798624	2453.12	6.62e-05	137411.17875742	0.00370792
United States of America	3451496.836	0.01054963	205636469.649	0.62853588	20708.981	6.33e-05	1233818.81789176	0.00377122
Saint Kitts and Nevis	1071.403	0.02043063	15748.479	0.30030852	6.428	0.00012258	94.49087343	0.00180185
Guatemala	329959.156	0.0191305	6537941.799	0.37905931	1979.755	0.00011478	39227.65079508	0.00227436
Jamaica	54509.943	0.0185733	1166994.05	0.39763261	327.06	0.00011144	7001.96430179	0.0023858
Saint Vincent and the Grenadines	2108.372	0.0191305	41776.126	0.37905931	12.65	0.00011478	250.65675852	0.00227436
Saint Lucia	3479.627	0.0191305	68946.719	0.37905931	20.878	0.00011478	413.68031167	0.00227436
Dominican Republic	181591.003	0.01708744	4784297.059	0.45019505	1089.546	0.00010252	28705.78235437	0.00270117
The Bahamas	7520.738	0.01950197	138802.946	0.35992881	45.124	0.00011701	832.81767694	0.00215957
Panama	77578.316	0.0185733	1660860.908	0.39763261	465.47	0.00011144	9965.1654474	0.0023858
Costa Rica	87284.751	0.0174589	2165295.953	0.43310761	523.709	0.00010475	12991.7757191	0.00259865
El Salvador	127602.214	0.01987343	2185793.62	0.34042684	765.613	0.00011924	13114.76171742	0.00204256
Haiti	221055.672	0.01987343	3786627.707	0.34042684	1326.334	0.00011924	22719.76624218	0.00204256
Mexico	2109401.438	0.01671597	58919869.32	0.46691102	12656.409	0.0001003	353519.21591901	0.00280147
Antigua and Barbuda	1841.999	0.0191305	36498.105	0.37905931	11.052	0.00011478	218.98862762	0.00227436
Dominica	1450.041	0.0202449	22959.638	0.32055341	8.7	0.00012147	137.75782942	0.00192332
Trinidad and Tobago	26588.677	0.0191305	526838.613	0.37905931	159.532	0.00011478	3161.03167659	0.00227436
