Name	Confirmed	Deaths	Recovered	Active
Yalobusha	3	0	0	0
Panola	4	0	0	0
Jackson	24	0	0	0
Harrison	34	1	0	0
Sunflower	5	0	0	0
Leake	4	0	0	0
Perry	2	0	0	0
Leflore	13	0	0	0
Clarke	0	0	0	0
Quitman	3	0	0	0
Humphreys	1	0	0	0
Calhoun	3	0	0	0
Hinds	50	0	0	0
Bolivar	9	0	0	0
Tishomingo	0	0	0	0
Covington	0	0	0	0
Jefferson	1	0	0	0
Tippah	15	1	0	0
Union	3	0	0	0
Webster	3	1	0	0
Stone	0	0	0	0
Desoto	63	0	0	0
Noxubee	1	0	0	0
Lamar	4	0	0	0
Wilkinson	9	1	0	0
Lee	15	0	0	0
Lawrence	5	0	0	0
Attala	8	0	0	0
Rankin	29	1	0	0
Tate	8	0	0	0
Lauderdale	10	0	0	0
Pike	12	0	0	0
Amite	0	0	0	0
Scott	6	0	0	0
Winston	3	0	0	0
Prentiss	1	0	0	0
Pontotoc	4	0	0	0
Claiborne	0	0	0	0
Alcorn	0	0	0	0
Jones	1	0	0	0
Kemper	1	0	0	0
Lincoln	6	0	0	0
Adams	6	0	0	0
Smith	1	0	0	0
Hancock	9	1	0	0
Benton	2	0	0	0
Coahoma	18	0	0	0
Sharkey	1	0	0	0
Greene	0	0	0	0
Chickasaw	9	0	0	0
Tallahatchie	2	0	0	0
Walthall	4	0	0	0
Lafayette	11	0	0	0
Franklin	2	0	0	0
Clay	2	0	0	0
Grenada	2	0	0	0
Montgomery	4	0	0	0
Marshall	9	0	0	0
Simpson	1	0	0	0
Holmes	10	1	0	0
Madison	25	0	0	0
Tunica	6	1	0	0
Washington	11	0	0	0
Issaquena	0	0	0	0
Copiah	8	0	0	0
Newton	1	0	0	0
Carroll	0	0	0	0
Yazoo	4	0	0	0
Itawamba	3	0	0	0
Neshoba	1	0	0	0
Wayne	0	0	0	0
Marion	1	0	0	0
Jasper	0	0	0	0
Choctaw	4	0	0	0
Pearl River	18	0	0	0
Jefferson Davis	0	0	0	0
Oktibbeha	12	0	0	0
Lowndes	9	0	0	0
Forrest	16	0	0	0
George	1	0	0	0
Monroe	3	0	0	0
Warren	0	0	0	0
