Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Canada	757135.779	0.02043063	11129090.062	0.30030852	4542.815	0.00012258	66774.54	0.00180185
East Timor	6572.138	0.00518319	35630.595	0.02810046	39.433	3.11e-05	213.784	0.0001686
Sao Tome and Principe	338.539	0.00160424	1644.104	0.00779093	2.031	9.63e-06	9.865	4.675e-05
Guernsey	474.605	0.00707816	2766.998	0.04126645	2.848	4.247e-05	16.602	0.0002476
United States of America	6623471.039	0.0202449	104874637.734	0.32055341	39740.826	0.00012147	629247.826	0.00192332
Vatican	6.555	0.00818364	39.61	0.0494501	0.039	4.91e-05	0.238	0.0002967
Lithuania	35157.45	0.01260335	261738.789	0.09382889	210.945	7.562e-05	1570.433	0.00056297
Cambodia	331993.612	0.02043063	4879952.728	0.30030852	1991.962	0.00012258	29279.716	0.00180185
Saint Kitts and Nevis	188.281	0.00359034	975.096	0.01859415	1.13	2.154e-05	5.851	0.00011156
Ethiopia	773108.997	0.00707816	4507310.036	0.04126645	4638.654	4.247e-05	27043.86	0.0002476
Aruba	749.188	0.00707816	4367.848	0.04126645	4.495	4.247e-05	26.207	0.0002476
Sri Lanka	442731.754	0.02043063	6507685.549	0.30030852	2656.391	0.00012258	39046.113	0.00180185
Swaziland	8042.143	0.00707816	46886.572	0.04126645	48.253	4.247e-05	281.319	0.0002476
Argentina	519492.181	0.01167542	3614090.186	0.08122555	3116.953	7.005e-05	21684.541	0.00048735
Bolivia	92910.069	0.00818364	561413.96	0.0494501	557.46	4.91e-05	3368.484	0.0002967
Cameroon	268769.729	0.0106586	1753792.339	0.06955012	1612.618	6.395e-05	10522.754	0.0004173
Burkina Faso	161639.524	0.00818364	976715.298	0.0494501	969.837	4.91e-05	5860.292	0.0002967
Bahrain	21475.527	0.01368357	168734.249	0.10751246	128.853	8.21e-05	1012.405	0.00064507
Saudi Arabia	393461.173	0.01167542	2737296.571	0.08122555	2360.767	7.005e-05	16423.779	0.00048735
Japan	2561568.611	0.0202449	40559334.904	0.32055341	15369.412	0.00012147	243356.009	0.00192332
Slovenia	22035.287	0.0106586	143785.973	0.06955012	132.212	6.395e-05	862.716	0.0004173
Guatemala	122082.752	0.00707816	711755.802	0.04126645	732.497	4.247e-05	4270.535	0.0002476
Bosnia and Herzegovina	35428.422	0.0106586	231179.665	0.06955012	212.571	6.395e-05	1387.078	0.0004173
Guinea	87870.54	0.00707816	512294.86	0.04126645	527.223	4.247e-05	3073.769	0.0002476
Jordan	116240.651	0.01167542	808682.422	0.08122555	697.444	7.005e-05	4852.095	0.00048735
Spain	971951.918	0.0208021	12113670.331	0.25926152	5831.712	0.00012481	72682.022	0.00155557
Liberia	29337.125	0.00608783	164752.589	0.03418829	176.023	3.653e-05	988.516	0.00020513
West Bank And Gaza	4330.055	0.00086601	18911.566	0.00378231	25.98	5.2e-06	113.469	2.269e-05
Jamaica	24017.808	0.00818364	145128.861	0.0494501	144.107	4.91e-05	870.773	0.0002967
Oman	66084.565	0.01368357	519229.601	0.10751246	396.507	8.21e-05	3115.378	0.00064507
Monaco	487.523	0.01260335	3629.489	0.09382889	2.925	7.562e-05	21.777	0.00056297
New Zealand	61573.648	0.01260335	458401.049	0.09382889	369.442	7.562e-05	2750.406	0.00056297
Yemen	37623.686	0.00132019	176312.507	0.00618669	225.742	7.92e-06	1057.875	3.712e-05
Jersey	690.736	0.00707816	4027.069	0.04126645	4.144	4.247e-05	24.162	0.0002476
Pakistan	2903859.07	0.01368357	22815760.079	0.10751246	17423.154	8.21e-05	136894.56	0.00064507
Albania	27062.681	0.00944143	168805.249	0.05889152	162.376	5.665e-05	1012.831	0.00035335
United Arab Emirates	198555.348	0.02061636	2695492.447	0.27987789	1191.332	0.0001237	16172.955	0.00167927
Uruguay	24414.693	0.00707816	142340.332	0.04126645	146.488	4.247e-05	854.042	0.0002476
India	27886049.983	0.02061636	378567678.622	0.27987789	167316.3	0.0001237	2271406.072	0.00167927
Azerbaijan	116080.966	0.01167542	807571.5	0.08122555	696.486	7.005e-05	4845.429	0.00048735
Saint Vincent and the Grenadines	780.084	0.00707816	4547.976	0.04126645	4.681	4.247e-05	27.288	0.0002476
Republic of Serbia	74419.225	0.0106586	485604.788	0.06955012	446.515	6.395e-05	2913.629	0.0004173
Kenya	363767.991	0.00707816	2120807.187	0.04126645	2182.608	4.247e-05	12724.843	0.0002476
South Korea	1045350.445	0.0202449	16551857.565	0.32055341	6272.103	0.00012147	99311.145	0.00192332
Belarus	119547.603	0.01260335	890003.253	0.09382889	717.286	7.562e-05	5340.02	0.00056297
