Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Magallanes	1352.0	15.0	0.0	1337.0	N/A	N/A	N/A	N/A	5000.0	2307.69230769	1500.0	N/A	N/A	N/A
Coquimbo	2428.0	17.0	0.0	2411.0	N/A	N/A	N/A	N/A	5666.66666667	2615.38461538	1700.0	N/A	N/A	N/A
Metropolitana	198392.0	3892.0	0.0	194500.0	N/A	N/A	N/A	N/A	1297333.33333	598769.230769	389200.0	N/A	N/A	N/A
Arica y Parinacota	1420.0	12.0	0.0	1408.0	N/A	N/A	N/A	N/A	4000.0	1846.15384615	1200.0	N/A	N/A	N/A
Biobio	5158.0	35.0	0.0	5123.0	N/A	N/A	N/A	N/A	11666.6666667	5384.61538462	3500.0	N/A	N/A	N/A
Tarapaca	5355.0	80.0	0.0	5275.0	N/A	N/A	N/A	N/A	26666.6666667	12307.6923077	8000.0	N/A	N/A	N/A
Unknown	0.0	0.0	205397.0	-205397.0	N/A	N/A	N/A	N/A	0.0	0.0	0.0	N/A	N/A	N/A
Maule	4355.0	33.0	0.0	4322.0	N/A	N/A	N/A	N/A	11000.0	5076.92307692	3300.0	N/A	N/A	N/A
Valparaiso	9615.0	170.0	0.0	9445.0	N/A	N/A	N/A	N/A	56666.6666667	26153.8461538	17000.0	N/A	N/A	N/A
Los Lagos	1437.0	17.0	0.0	1420.0	N/A	N/A	N/A	N/A	5666.66666667	2615.38461538	1700.0	N/A	N/A	N/A
Atacama	718.0	2.0	0.0	716.0	N/A	N/A	N/A	N/A	666.666666667	307.692307692	200.0	N/A	N/A	N/A
Antofagasta	6708.0	100.0	0.0	6608.0	N/A	N/A	N/A	N/A	33333.3333333	15384.6153846	10000.0	N/A	N/A	N/A
Nuble	2181.0	28.0	0.0	2153.0	N/A	N/A	N/A	N/A	9333.33333333	4307.69230769	2800.0	N/A	N/A	N/A
Los Rios	621.0	10.0	0.0	611.0	N/A	N/A	N/A	N/A	3333.33333333	1538.46153846	1000.0	N/A	N/A	N/A
Araucania	3009.0	39.0	0.0	2970.0	N/A	N/A	N/A	N/A	13000.0	6000.0	3900.0	N/A	N/A	N/A
OHiggins	4186.0	52.0	0.0	4134.0	N/A	N/A	N/A	N/A	17333.3333333	8000.0	5200.0	N/A	N/A	N/A
Aysen	28.0	0.0	0.0	28.0	N/A	N/A	N/A	N/A	140.0	56.0	35.0	N/A	N/A	N/A
