Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-17	0.173	9.173	0.0	0.0
2020-04-18	0.161	9.334	0.0	0.0
2020-04-19	0.15	9.484	0.0	0.0
2020-04-20	0.141	9.625	0.0	0.0
2020-04-21	0.132	9.757	0.0	0.0
2020-04-22	0.124	9.881	0.0	0.0
2020-04-23	0.116	9.997	0.0	0.0
2020-04-24	0.108	10.105	0.0	0.0
2020-04-25	0.101	10.206	0.0	0.0
2020-04-26	0.093	10.299	0.0	0.0
2020-04-27	0.085	10.384	0.0	0.0
2020-04-28	0.077	10.461	0.0	0.0
2020-04-29	0.069	10.53	0.0	0.0
2020-04-30	0.062	10.592	0.0	0.0
2020-05-01	0.056	10.648	0.0	0.0
2020-05-02	0.05	10.698	0.0	0.0
2020-05-03	0.044	10.742	0.0	0.0
2020-05-04	0.039	10.781	0.0	0.0
2020-05-05	0.034	10.815	0.0	0.0
2020-05-06	0.029	10.844	0.0	0.0
2020-05-07	0.024	10.868	0.0	0.0
2020-05-08	0.019	10.887	0.0	0.0
2020-05-09	0.013	10.9	0.0	0.0
2020-05-10	0.009	10.909	0.0	0.0
2020-05-11	0.005	10.914	0.0	0.0
2020-05-12	0.003	10.917	0.0	0.0
2020-05-13	0.002	10.919	0.0	0.0
2020-05-14	0.002	10.921	0.0	0.0
2020-05-15	0.001	10.922	0.0	0.0
2020-05-16	0.001	10.923	0.0	0.0
2020-05-17	0.001	10.924	0.0	0.0
2020-05-18	0.001	10.925	0.0	0.0
2020-05-19	0.0	10.925	0.0	0.0
2020-05-20	0.0	10.925	0.0	0.0
2020-05-21	0.0	10.925	0.0	0.0
2020-05-22	0.0	10.925	0.0	0.0
2020-05-23	0.0	10.925	0.0	0.0
2020-05-24	0.0	10.925	0.0	0.0
2020-05-25	0.0	10.925	0.0	0.0
2020-05-26	0.0	10.925	0.0	0.0
2020-05-27	0.0	10.925	0.0	0.0
2020-05-28	0.0	10.925	0.0	0.0
2020-05-29	0.0	10.925	0.0	0.0
2020-05-30	0.0	10.925	0.0	0.0
2020-05-31	0.0	10.925	0.0	0.0
2020-06-01	0.0	10.925	0.0	0.0
2020-06-02	0.0	10.925	0.0	0.0
2020-06-03	0.0	10.925	0.0	0.0
2020-06-04	0.0	10.925	0.0	0.0
2020-06-05	0.0	10.925	0.0	0.0
2020-06-06	0.0	10.925	0.0	0.0
2020-06-07	0.0	10.925	0.0	0.0
2020-06-08	0.0	10.925	0.0	0.0
2020-06-09	0.0	10.925	0.0	0.0
2020-06-10	0.0	10.925	0.0	0.0
2020-06-11	0.0	10.925	0.0	0.0
2020-06-12	0.0	10.925	0.0	0.0
2020-06-13	0.0	10.925	0.0	0.0
2020-06-14	0.0	10.925	0.0	0.0
2020-06-15	0.0	10.925	0.0	0.0
2020-06-16	0.0	10.925	0.0	0.0
2020-06-17	0.0	10.925	0.0	0.0
2020-06-18	0.0	10.925	0.0	0.0
2020-06-19	0.0	10.925	0.0	0.0
2020-06-20	0.0	10.925	0.0	0.0
2020-06-21	0.0	10.925	0.0	0.0
2020-06-22	0.0	10.925	0.0	0.0
2020-06-23	0.0	10.925	0.0	0.0
2020-06-24	0.0	10.925	0.0	0.0
2020-06-25	0.0	10.925	0.0	0.0
2020-06-26	0.0	10.925	0.0	0.0
2020-06-27	0.0	10.925	0.0	0.0
2020-06-28	0.0	10.925	0.0	0.0
2020-06-29	0.0	10.925	0.0	0.0
2020-06-30	0.0	10.925	0.0	0.0
2020-07-01	0.0	10.925	0.0	0.0
2020-07-02	0.0	10.925	0.0	0.0
2020-07-03	0.0	10.925	0.0	0.0
2020-07-04	0.0	10.925	0.0	0.0
2020-07-05	0.0	10.925	0.0	0.0
2020-07-06	0.0	10.925	0.0	0.0
2020-07-07	0.0	10.925	0.0	0.0
2020-07-08	0.0	10.925	0.0	0.0
2020-07-09	0.0	10.925	0.0	0.0
2020-07-10	0.0	10.925	0.0	0.0
2020-07-11	0.0	10.925	0.0	0.0
2020-07-12	0.0	10.925	0.0	0.0
2020-07-13	0.0	10.925	0.0	0.0
2020-07-14	0.0	10.925	0.0	0.0
2020-07-15	0.0	10.925	0.0	0.0
2020-07-16	0.0	10.925	0.0	0.0
2020-07-17	0.0	10.925	0.0	0.0
2020-07-18	0.0	10.925	0.0	0.0
2020-07-19	0.0	10.925	0.0	0.0
2020-07-20	0.0	10.925	0.0	0.0
2020-07-21	0.0	10.925	0.0	0.0
2020-07-22	0.0	10.925	0.0	0.0
2020-07-23	0.0	10.925	0.0	0.0
2020-07-24	0.0	10.925	0.0	0.0
2020-07-25	0.0	10.925	0.0	0.0
2020-07-26	0.0	10.925	0.0	0.0
2020-07-27	0.0	10.925	0.0	0.0
2020-07-28	0.0	10.925	0.0	0.0
2020-07-29	0.0	10.925	0.0	0.0
2020-07-30	0.0	10.925	0.0	0.0
2020-07-31	0.0	10.925	0.0	0.0
2020-08-01	0.0	10.925	0.0	0.0
2020-08-02	0.0	10.925	0.0	0.0
2020-08-03	0.0	10.925	0.0	0.0
2020-08-04	0.0	10.925	0.0	0.0
2020-08-05	0.0	10.925	0.0	0.0
2020-08-06	0.0	10.925	0.0	0.0
2020-08-07	0.0	10.925	0.0	0.0
2020-08-08	0.0	10.925	0.0	0.0
2020-08-09	0.0	10.925	0.0	0.0
2020-08-10	0.0	10.925	0.0	0.0
2020-08-11	0.0	10.925	0.0	0.0
2020-08-12	0.0	10.925	0.0	0.0
2020-08-13	0.0	10.925	0.0	0.0
2020-08-14	0.0	10.925	0.0	0.0
2020-08-15	0.0	10.925	0.0	0.0
2020-08-16	0.0	10.925	0.0	0.0
2020-08-17	0.0	10.925	0.0	0.0
2020-08-18	0.0	10.925	0.0	0.0
2020-08-19	0.0	10.925	0.0	0.0
2020-08-20	0.0	10.925	0.0	0.0
2020-08-21	0.0	10.925	0.0	0.0
2020-08-22	0.0	10.925	0.0	0.0
2020-08-23	0.0	10.925	0.0	0.0
2020-08-24	0.0	10.925	0.0	0.0
2020-08-25	0.0	10.925	0.0	0.0
2020-08-26	0.0	10.925	0.0	0.0
2020-08-27	0.0	10.925	0.0	0.0
2020-08-28	0.0	10.925	0.0	0.0
2020-08-29	0.0	10.925	0.0	0.0
2020-08-30	0.0	10.925	0.0	0.0
