Name	Confirmed	Deaths	Recovered	Active
Saline	6	0	0	0
Mississippi	0	0	0	0
Newton	0	0	0	0
Jackson	0	0	0	0
White	6	0	0	0
Dallas	0	0	0	0
Perry	0	0	0	0
Van Buren	17	0	0	0
Calhoun	0	0	0	0
Montgomery	0	0	0	0
Pulaski	93	0	0	0
Phillips	0	0	0	0
Jefferson	25	0	0	0
Crittenden	17	0	0	0
Stone	1	0	0	0
Cleburne	50	1	0	0
Randolph	1	0	0	0
Crawford	1	0	0	0
Faulkner	30	0	0	0
Independence	3	0	0	0
Howard	1	0	0	0
Columbia	1	0	0	0
Lee	0	0	0	0
Garland	25	0	0	0
Lawrence	1	0	0	0
Saint Francis	0	0	0	0
Grant	3	0	0	0
Sevier	1	0	0	0
Drew	1	0	0	0
Union	5	0	0	0
Unassigned	31	5	0	0
Yell	0	0	0	0
Marion	0	0	0	0
Izard	0	0	0	0
Little River	0	0	0	0
Pike	1	0	0	0
Lincoln	6	0	0	0
Ashley	1	0	0	0
Pope	1	0	0	0
Johnson	1	0	0	0
Hot Spring	1	0	0	0
Benton	31	0	0	0
Cross	1	0	0	0
Greene	1	0	0	0
Washington	14	0	0	0
Searcy	2	0	0	0
Lafayette	0	0	0	0
Franklin	0	0	0	0
Boone	1	0	0	0
Clay	0	0	0	0
Poinsett	3	0	0	0
Ouachita	0	0	0	0
Sharp	0	0	0	0
Sebastian	2	0	0	0
Scott	0	0	0	0
Fulton	0	0	0	0
Baxter	1	0	0	0
Woodruff	1	0	0	0
Madison	0	0	0	0
Lonoke	1	0	0	0
Hempstead	0	0	0	0
Clark	17	0	0	0
Conway	1	0	0	0
Miller	0	0	0	0
Craighead	6	0	0	0
Carroll	0	0	0	0
Bradley	4	0	0	0
Logan	0	0	0	0
Prairie	0	0	0	0
Desha	2	0	0	0
Cleveland	5	0	0	0
Arkansas	0	0	0	0
Chicot	1	0	0	0
Nevada	1	0	0	0
Polk	1	0	0	0
Monroe	0	0	0	0
