Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Brazil	2985	77	6	2902	1.425e-5	3.7e-7	25666.6666667	11846.1538462	7700	1.23333333333e-4	5.69230769231e-5	3.7e-5
Suriname	8	0	0	8	1.389e-5	0	40	16	10	6.945e-5	2.778e-5	1.73625e-5
Peru	580	9	14	557	1.813e-5	2.8e-7	3000	1384.61538462	900	9.33333333333e-5	4.30769230769e-5	2.8e-5
Argentina	502	9	63	430	1.128e-5	2e-7	3000	1384.61538462	900	6.66666666667e-5	3.07692307692e-5	2e-5
Bolivia	43	0	0	43	3.79e-6	0	215	86	53.75	1.895e-5	7.58e-6	4.7375e-6
Venezuela	107	0	15	92	3.71e-6	0	535	214	133.75	1.855e-5	7.42e-6	4.6375e-6
Ecuador	1403	34	3	1366	8.212e-5	1.99e-6	11333.3333333	5230.76923077	3400	6.63333333333e-4	3.06153846154e-4	1.99e-4
Chile	1306	4	22	1280	6.973e-5	2.1e-7	1333.33333333	615.384615385	400	7e-5	3.23076923077e-5	2.1e-5
Guyana	5	1	0	4	6.42e-6	1.28e-6	333.333333333	153.846153846	100	4.26666666667e-4	1.96923076923e-4	1.28e-4
Uruguay	217	0	0	217	6.291e-5	0	1085	434	271.25	3.1455e-4	1.2582e-4	7.86375e-5
Colombia	491	6	8	477	9.89e-6	1.2e-7	2000	923.076923077	600	4e-5	1.84615384615e-5	1.2e-5
Paraguay	41	3	0	38	5.89e-6	4.3e-7	1000	461.538461538	300	1.43333333333e-4	6.61538461538e-5	4.3e-5
