Date	Predicted Daily Cases	Predicted Total Cases	Predicted Daily Deaths	Predicted Total Deaths
2020-04-15	3.151	73.151	0.0	1.0
2020-04-16	2.885	76.036	0.0	1.0
2020-04-17	2.618	78.654	0.0	1.0
2020-04-18	2.358	81.012	0.0	1.0
2020-04-19	2.116	83.128	0.0	1.0
2020-04-20	1.895	85.023	0.0	1.0
2020-04-21	1.693	86.716	0.0	1.0
2020-04-22	1.508	88.224	0.0	1.0
2020-04-23	1.333	89.557	0.0	1.0
2020-04-24	1.161	90.718	0.0	1.0
2020-04-25	0.988	91.706	0.0	1.0
2020-04-26	0.813	92.519	0.0	1.0
2020-04-27	0.635	93.154	0.0	1.0
2020-04-28	0.451	93.605	0.0	1.0
2020-04-29	0.29	93.895	0.0	1.0
2020-04-30	0.179	94.074	0.0	1.0
2020-05-01	0.113	94.187	0.0	1.0
2020-05-02	0.075	94.262	0.0	1.0
2020-05-03	0.053	94.315	0.0	1.0
2020-05-04	0.041	94.356	0.0	1.0
2020-05-05	0.033	94.389	0.0	1.0
2020-05-06	0.026	94.415	0.0	1.0
2020-05-07	0.02	94.435	0.0	1.0
2020-05-08	0.015	94.45	0.0	1.0
2020-05-09	0.011	94.461	0.0	1.0
2020-05-10	0.0	94.461	0.0	1.0
2020-05-11	0.0	94.461	0.0	1.0
2020-05-12	0.0	94.461	0.0	1.0
2020-05-13	0.0	94.461	0.0	1.0
2020-05-14	0.0	94.461	0.0	1.0
2020-05-15	0.0	94.461	0.0	1.0
2020-05-16	0.0	94.461	0.0	1.0
2020-05-17	0.0	94.461	0.0	1.0
2020-05-18	0.0	94.461	0.0	1.0
2020-05-19	0.0	94.461	0.0	1.0
2020-05-20	0.0	94.461	0.0	1.0
2020-05-21	0.0	94.461	0.0	1.0
2020-05-22	0.0	94.461	0.0	1.0
2020-05-23	0.0	94.461	0.0	1.0
2020-05-24	0.0	94.461	0.0	1.0
2020-05-25	0.0	94.461	0.0	1.0
2020-05-26	0.0	94.461	0.0	1.0
2020-05-27	0.0	94.461	0.0	1.0
2020-05-28	0.0	94.461	0.0	1.0
2020-05-29	0.0	94.461	0.0	1.0
2020-05-30	0.0	94.461	0.0	1.0
2020-05-31	0.0	94.461	0.0	1.0
2020-06-01	0.0	94.461	0.0	1.0
2020-06-02	0.0	94.461	0.0	1.0
2020-06-03	0.0	94.461	0.0	1.0
2020-06-04	0.0	94.461	0.0	1.0
2020-06-05	0.0	94.461	0.0	1.0
2020-06-06	0.0	94.461	0.0	1.0
2020-06-07	0.0	94.461	0.0	1.0
2020-06-08	0.0	94.461	0.0	1.0
2020-06-09	0.0	94.461	0.0	1.0
2020-06-10	0.0	94.461	0.0	1.0
2020-06-11	0.0	94.461	0.0	1.0
2020-06-12	0.0	94.461	0.0	1.0
2020-06-13	0.0	94.461	0.0	1.0
2020-06-14	0.0	94.461	0.0	1.0
2020-06-15	0.0	94.461	0.0	1.0
2020-06-16	0.0	94.461	0.0	1.0
2020-06-17	0.0	94.461	0.0	1.0
2020-06-18	0.0	94.461	0.0	1.0
2020-06-19	0.0	94.461	0.0	1.0
2020-06-20	0.0	94.461	0.0	1.0
2020-06-21	0.0	94.461	0.0	1.0
2020-06-22	0.0	94.461	0.0	1.0
2020-06-23	0.0	94.461	0.0	1.0
2020-06-24	0.0	94.461	0.0	1.0
2020-06-25	0.0	94.461	0.0	1.0
2020-06-26	0.0	94.461	0.0	1.0
2020-06-27	0.0	94.461	0.0	1.0
2020-06-28	0.0	94.461	0.0	1.0
2020-06-29	0.0	94.461	0.0	1.0
2020-06-30	0.0	94.461	0.0	1.0
2020-07-01	0.0	94.461	0.0	1.0
2020-07-02	0.0	94.461	0.0	1.0
2020-07-03	0.0	94.461	0.0	1.0
2020-07-04	0.0	94.461	0.0	1.0
2020-07-05	0.0	94.461	0.0	1.0
2020-07-06	0.0	94.461	0.0	1.0
2020-07-07	0.0	94.461	0.0	1.0
2020-07-08	0.0	94.461	0.0	1.0
2020-07-09	0.0	94.461	0.0	1.0
2020-07-10	0.0	94.461	0.0	1.0
2020-07-11	0.0	94.461	0.0	1.0
2020-07-12	0.0	94.461	0.0	1.0
2020-07-13	0.0	94.461	0.0	1.0
2020-07-14	0.0	94.461	0.0	1.0
2020-07-15	0.0	94.461	0.0	1.0
2020-07-16	0.0	94.461	0.0	1.0
2020-07-17	0.0	94.461	0.0	1.0
2020-07-18	0.0	94.461	0.0	1.0
2020-07-19	0.0	94.461	0.0	1.0
2020-07-20	0.0	94.461	0.0	1.0
2020-07-21	0.0	94.461	0.0	1.0
2020-07-22	0.0	94.461	0.0	1.0
2020-07-23	0.0	94.461	0.0	1.0
2020-07-24	0.0	94.461	0.0	1.0
2020-07-25	0.0	94.461	0.0	1.0
2020-07-26	0.0	94.461	0.0	1.0
2020-07-27	0.0	94.461	0.0	1.0
2020-07-28	0.0	94.461	0.0	1.0
2020-07-29	0.0	94.461	0.0	1.0
2020-07-30	0.0	94.461	0.0	1.0
2020-07-31	0.0	94.461	0.0	1.0
2020-08-01	0.0	94.461	0.0	1.0
2020-08-02	0.0	94.461	0.0	1.0
2020-08-03	0.0	94.461	0.0	1.0
2020-08-04	0.0	94.461	0.0	1.0
2020-08-05	0.0	94.461	0.0	1.0
2020-08-06	0.0	94.461	0.0	1.0
2020-08-07	0.0	94.461	0.0	1.0
2020-08-08	0.0	94.461	0.0	1.0
2020-08-09	0.0	94.461	0.0	1.0
2020-08-10	0.0	94.461	0.0	1.0
2020-08-11	0.0	94.461	0.0	1.0
2020-08-12	0.0	94.461	0.0	1.0
2020-08-13	0.0	94.461	0.0	1.0
2020-08-14	0.0	94.461	0.0	1.0
2020-08-15	0.0	94.461	0.0	1.0
2020-08-16	0.0	94.461	0.0	1.0
2020-08-17	0.0	94.461	0.0	1.0
2020-08-18	0.0	94.461	0.0	1.0
2020-08-19	0.0	94.461	0.0	1.0
2020-08-20	0.0	94.461	0.0	1.0
2020-08-21	0.0	94.461	0.0	1.0
2020-08-22	0.0	94.461	0.0	1.0
2020-08-23	0.0	94.461	0.0	1.0
2020-08-24	0.0	94.461	0.0	1.0
2020-08-25	0.0	94.461	0.0	1.0
2020-08-26	0.0	94.461	0.0	1.0
2020-08-27	0.0	94.461	0.0	1.0
2020-08-28	0.0	94.461	0.0	1.0
2020-08-29	0.0	94.461	0.0	1.0
2020-08-30	0.0	94.461	0.0	1.0
