Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Turkey	42282.0	908.0	2142.0	39232.0	0.00051363	1.103e-05	302666.666667	139692.307692	90800.0	0.00367666666667	0.00169692307692	0.001103
Italy	143626.0	18279.0	28470.0	96877.0	0.00237668	0.00030248	6093000.0	2812153.84615	1827900.0	0.100826666667	0.0465353846154	0.030248
Czech Republic	5569.0	112.0	301.0	5156.0	0.00052411	1.054e-05	37333.3333333	17230.7692308	11200.0	0.00351333333333	0.00162153846154	0.001054
Monaco	84.0	1.0	5.0	78.0	0.00217155	2.585e-05	333.333333333	153.846153846	100.0	0.00861666666667	0.00397692307692	0.002585
Lithuania	955.0	16.0	8.0	931.0	0.00034235	5.74e-06	5333.33333333	2461.53846154	1600.0	0.00191333333333	0.000883076923077	0.000574
Luxembourg	3115.0	52.0	500.0	2563.0	0.00512565	8.556e-05	17333.3333333	8000.0	5200.0	0.02852	0.0131630769231	0.008556
France	118781	12228	23413	83140	0.00177319	0.00018254	4076000.0	1881230.76923	1222800.0	0.0608466666667	0.0280830769231	0.018254
Andorra	583.0	25.0	58.0	500.0	0.00757084	0.00032465	8333.33333333	3846.15384615	2500.0	0.108216666667	0.0499461538462	0.032465
Switzerland	24051.0	948.0	10600.0	12503.0	0.00282403	0.00011131	316000.0	145846.153846	94800.0	0.0371033333333	0.0171246153846	0.011131
Georgia	218.0	3.0	51.0	164.0	5.843e-05	8e-07	1000.0	461.538461538	300.0	0.000266666666667	0.000123076923077	8e-05
Slovakia	701.0	2.0	23.0	676.0	0.00012869	3.7e-07	666.666666667	307.692307692	200.0	0.000123333333333	5.69230769231e-05	3.7e-05
Ireland	6574.0	263.0	25.0	6286.0	0.00135448	5.419e-05	87666.6666667	40461.5384615	26300.0	0.0180633333333	0.00833692307692	0.005419
Norway	6211.0	108.0	32.0	6071.0	0.00116873	2.032e-05	36000.0	16615.3846154	10800.0	0.00677333333333	0.00312615384615	0.002032
Israel	9968.0	86.0	1011.0	8871.0	0.00112204	9.68e-06	28666.6666667	13230.7692308	8600.0	0.00322666666667	0.00148923076923	0.000968
Belarus	1486.0	16.0	139.0	1331.0	0.00015666	1.69e-06	5333.33333333	2461.53846154	1600.0	0.000563333333333	0.00026	0.000169
