Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita	Confirmed_daily	Deaths_daily
Turkey	6	0	0	N/A	7e-08	0.0	30	12	7.5	3.5e-07	1.4e-07	8.75e-08	NA	NA	1	0
Italy	24747	1809	2335	N/A	0.00040951	2.993e-05	603000	278307.692308	180900	0.00997666666667	0.00460461538462	0.002993	NA	NA	3590	368
Czech Republic	253	0	0	N/A	2.381e-05	0.0	1265	506	316.25	0.00011905	4.762e-05	2.97625e-05	4065	3.81e-4	64	0
Vatican	1	0	0	N/A	0.00124844	0.0	5	2	1.25	0.0062422	0.00249688	0.00156055	NA	NA	0	0
San Marino	101	5	4	N/A	0.00298949	0.00014799	1666.66666667	769.230769231	500	0.04933	0.0227676923077	0.014799	NA	NA	21	0
Luxembourg	59	1	0	N/A	9.708e-05	1.65e-06	333.333333333	153.846153846	100	0.00055	0.000253846153846	0.000165	NA	NA	8	0
France	4522	91	12	N/A	6.751e-05	1.36e-06	30333.3333333	14000	9100	0.000453333333333	0.000209230769231	0.000136	36747	5.48e-4	33	0
Andorra	1	0	1	N/A	1.299e-05	0.0	5	2	1.25	6.495e-05	2.598e-05	1.62375e-05	NA	NA	0	0
Georgia	33	0	0	N/A	8.84e-06	0.0	165	66	41.25	4.42e-05	1.768e-05	1.105e-05	NA	NA	3	0
Slovakia	54	0	0	N/A	9.91e-06	0.0	270	108	67.5	4.955e-05	1.982e-05	1.23875e-05	NA	NA	10	0
Ireland	129	2	0	N/A	2.658e-05	4.1e-07	666.666666667	307.692307692	200	0.000136666666667	6.30769230769e-05	4.1e-05	NA	NA	0	0
Norway	1221	3	1	N/A	0.00022976	5.6e-07	1000	461.538461538	300	0.000186666666667	8.61538461538e-05	5.6e-05	10448	0.001942	131	0
Lithuania	12	0	1	N/A	4.3e-06	0.0	60	24	15	2.15e-05	8.6e-06	5.375e-06	NA	NA	4	0
Israel	251	0	4	N/A	2.825e-05	0.0	1255	502	313.75	0.00014125	5.65e-05	3.53125e-05	NA	NA	58	0
Belarus	27	0	3	N/A	2.85e-06	0.0	135	54	33.75	1.425e-05	5.7e-06	3.5625e-06	NA	NA	0	0
Iceland	171	5	8	N/A	0.00048363	1.414e-05	1666.66666667	769.230769231	500	0.00471333333333	0.00217538461538	0.001414	NA	NA	15	5
Slovenia	219	1	0	N/A	0.00010593	4.8e-07	333.333333333	153.846153846	100	0.00016	7.38461538462e-05	4.8e-05	NA	NA	38	0
Germany	5795	11	46	N/A	6.988e-05	1.3e-07	3666.66666667	1692.30769231	1100	4.33333333333e-05	2e-05	1.3e-05	NA	NA	1210	2
